hut_id:ID(Hut),osm_id:long,latitude:float,longitude:float,name,country_code,tourism,amenity,shelter_type,operator,tags_json
123152830,123152830,69.9394383,22.9229526,Nordlysobservatoriet Halde,NO,wilderness_hut,,,,"{""alt_name"": ""Observatoriet på Haldde"", ""building"": ""yes"", ""capacity"": ""6"", ""dnt:classification"": ""ubetjent"", ""dnt:iid"": ""2034"", ""ele"": ""904"", ""name"": ""Nordlysobservatoriet Halde"", ""network"": ""Den Norske Turistforening"", ""ref:kartverket:hytte"": ""1566"", ""tourism"": ""wilderness_hut"", ""website"": ""http://www.alta.museum.no/sider/tekst.asp?side=64&meny=BES%D8K%20OSS"", ""wikidata"": ""Q13441956"", ""wikipedia"": ""da:Nordlysobservatoriet""}"
198055834,198055834,67.091261,20.5678945,Åke på toppen,SE,alpine_hut,,,,"{""building"": ""hut"", ""check_date"": ""2024-07-17"", ""name"": ""Åke på toppen"", ""tourism"": ""alpine_hut""}"
230049742,230049742,70.8133541,23.3660115,Gamvikvannhytta,NO,wilderness_hut,,,Hammerfest kommune,"{""alt_name"": ""Gamvikhytta"", ""building"": ""hut"", ""drinking_water"": ""no"", ""fee"": ""no"", ""fireplace"": ""yes"", ""name"": ""Gamvikvannhytta"", ""operator"": ""Hammerfest kommune"", ""ref:kartverket:hytte"": ""5016"", ""reservation"": ""no"", ""shower"": ""no"", ""toilets"": ""no"", ""tourism"": ""wilderness_hut""}"
230876197,230876197,66.779662,14.286002,Kvitsteindalsgammen,NO,wilderness_hut,shelter,basic_hut,Bodø og Omegns Turistforening,"{""access"": ""yes"", ""amenity"": ""shelter"", ""building"": ""hut"", ""capacity"": ""6"", ""dnt:classification"": ""nødbu"", ""dnt:iid"": ""462"", ""dnt:lock"": ""no"", ""ele"": ""600"", ""emergency"": ""yes"", ""name"": ""Kvitsteindalsgammen"", ""network"": ""Den Norske Turistforening"", ""operator"": ""Bodø og Omegns Turistforening"", ""ref:bygningsnr"": ""300353865"", ""shelter_type"": ""basic_hut"", ""ssr:stedsnr"": ""769182"", ""tourism"": ""wilderness_hut"", ""website"": ""https://ut.no/hytte/kvitsteindalsgammen""}"
235207459,235207459,68.2041753,18.1854958,Unna Allakas Fjällstuga,SE,alpine_hut,,,Svenska Turistföreningen,"{""beds"": ""18"", ""building"": ""cabin"", ""email"": ""fjallbokningen@stfturist.se"", ""fee"": ""yes"", ""fixme"": ""opening hours"", ""image"": ""https://stfturist-lajka.imgix.net/v1/image/citybreak/1413249?w=505&h=300&fit=full"", ""name"": ""Unna Allakas Fjällstuga"", ""operator"": ""Svenska Turistföreningen"", ""snowmobile"": ""yes"", ""tourism"": ""alpine_hut"", ""website"": ""https://www.svenskaturistforeningen.se/boende/stf-unna-allakas-fjallstuga/"", ""wikidata"": ""Q1953249""}"
265777706,265777706,67.1173422,14.7458448,Lurfjellhytta,NO,wilderness_hut,,,Bodø og Omegns Turistforening,"{""capacity"": ""23"", ""dnt:classification"": ""ubetjent"", ""dnt:iid"": ""370"", ""dnt:lock"": ""yes"", ""ele"": ""315"", ""name"": ""Lurfjellhytta"", ""network"": ""Den Norske Turistforening"", ""operator"": ""Bodø og Omegns Turistforening"", ""ref:kartverket:hytte"": ""1044"", ""tourism"": ""wilderness_hut"", ""website"": ""https://ut.no/hytte/lurfjellhytta""}"
289250952,289250952,67.8511047,18.3165587,Singi Fjällstuga,SE,alpine_hut,,,Svenska Turistföreningen,"{""capacity"": ""44"", ""ele"": ""715"", ""image"": ""https://commons.wikimedia.org/wiki/File:Singistugan_002.jpg"", ""internet_access"": ""no"", ""name"": ""Singi Fjällstuga"", ""operator"": ""Svenska Turistföreningen"", ""payment:cash"": ""yes"", ""payment:credit_cards"": ""yes"", ""reservation"": ""yes"", ""smoking"": ""outside"", ""snowmobile"": ""yes"", ""tourism"": ""alpine_hut"", ""website"": ""https://www.svenskaturistforeningen.se/boende/stf-singi-fjallstuga/"", ""wikimedia_commons"": ""Category:Singistugan""}"
289257081,289257081,68.1364854,18.4154716,Alesjaure Fjällstuga,SE,alpine_hut,,,Svenska Turistföreningen,"{""capacity"": ""78"", ""description"": ""sauna, accept creditcard,cabin host, safety room when not opened, emergency phone"", ""ele"": ""790"", ""image"": ""https://commons.wikimedia.org/wiki/File:Alesjaurestugan_001.jpg"", ""internet_access"": ""no"", ""name"": ""Alesjaure Fjällstuga"", ""opening_hours"": ""Feb 14-May 3,Jun 15-Sep 20"", ""operator"": ""Svenska Turistföreningen"", ""payment:cash"": ""yes"", ""payment:credit_cards"": ""yes"", ""reservation"": ""yes"", ""service"": ""self"", ""smoking"": ""outside"", ""stf:discount"": ""yes"", ""tourism"": ""alpine_hut"", ""website"": ""https://www.svenskaturistforeningen.se/boende/stf-alesjaure-fjallstuga/"", ""wikidata"": ""Q2185624"", ""wikimedia_commons"": ""Category:Alesjaurestugorna""}"
289406212,289406212,68.2860102,18.5912708,Abiskojaure Fjällstuga,SE,alpine_hut,,,Svenska Turistföreningen,"{""alt_name"": ""Abiskojaurestugan"", ""capacity"": ""53"", ""description"": ""accept creditcard,cabin host, safety room when not opened, emergency phone"", ""ele"": ""490"", ""image"": ""https://commons.wikimedia.org/wiki/File:Abiskojaurestugan_002.jpg"", ""internet_access"": ""no"", ""name"": ""Abiskojaure Fjällstuga"", ""name:en"": ""Abiskojaure Mountain cabin"", ""opening_hours"": ""Feb 14-May 3,Jun 15-Sep 20"", ""operator"": ""Svenska Turistföreningen"", ""payment:cash"": ""yes"", ""payment:credit_cards"": ""yes"", ""smoking"": ""outside"", ""stf:classification"": ""självhushåll"", ""stf:discount"": ""yes"", ""tourism"": ""alpine_hut"", ""website"": ""https://www.svenskaturistforeningen.se/boende/stf-abiskojaure-fjallstuga/"", ""wikimedia_commons"": ""Category:Abiskojaurestugan""}"
291141562,291141562,66.9602926,17.4113693,Njunjes Fjällstuga,SE,alpine_hut,shelter,,,"{""affiliation"": ""Den Norske Turistforening"", ""amenity"": ""shelter"", ""building"": ""cabin"", ""capacity"": ""20"", ""dnt:classification"": ""ubetjent"", ""dnt:discount"": ""yes"", ""dnt:iid"": ""1558"", ""email"": ""bokningen@stfturist.se"", ""image"": ""https://stfturist-lajka.imgix.net/v1/image/citybreak/1411274?w=505&h=300&fit=full"", ""name"": ""Njunjes Fjällstuga"", ""service"": ""no"", ""snowmobile"": ""yes"", ""tourism"": ""alpine_hut"", ""website"": ""https://www.svenskaturistforeningen.se/boende/stf-njunjes-fjallstuga/""}"
292599738,292599738,67.6882365,17.2508617,Fjällstuga Vaisaluokta,SE,alpine_hut,,,Svenska Turistförening,"{""building"": ""cabin"", ""capacity"": ""20"", ""email"": ""bokningen@stfturist.se"", ""image"": ""https://stfturist-lajka.imgix.net/v1/image/citybreak/1411810?w=505&h=300&fit=full"", ""name"": ""Fjällstuga Vaisaluokta"", ""operator"": ""Svenska Turistförening"", ""tourism"": ""alpine_hut"", ""website"": ""https://www.svenskaturistforeningen.se/boende/stf-vaisaluokta-fjallstuga/""}"
328384817,328384817,66.8723163,20.235104,Muddusluobbal,SE,alpine_hut,,,Laponiatjuottjudus,"{""beds"": ""6"", ""building"": ""hut"", ""charge:adult"": ""150 SEK/night"", ""charge:child"": ""60 SEK/night"", ""charge:child:max_age"": ""15"", ""charge:daytime"": ""60 SEK/day"", ""description"": ""Stugorna är öppna året om och har självhushåll med enkel men bekväm standard. Du hugger själv ved, eldar, hämtar vatten, lagar mat, diskar och städar. Det finns ved och gasolspisar i alla stugor, samt inbetalningskort med information om hur du ska betala."", ""fee"": ""yes"", ""fireplace"": ""yes"", ""internet_access"": ""no"", ""name"": ""Muddusluobbal"", ""operator"": ""Laponiatjuottjudus"", ""payment:bankgiro"": ""yes"", ""payment:details"": ""https://laponia.nu/wp-content/uploads/2019/11/Betalning_Muttos_2019_SVE.pdf"", ""payment:swish"": ""yes"", ""smoking"": ""no"", ""tourism"": ""alpine_hut"", ""website"": ""https://laponia.nu/upplev/leder/muttosbalges/"", ""website2"": ""http://www.naturvardsverket.se/Var-natur/Skyddad-natur/Nationalparker/MuddusMuttus-Norrbottens-lan/"", ""website:map"": ""https://laponia.nu/wp-content/uploads/2014/09/2018-09-Avstandskarta-Muttos.png"", ""website:map2"": ""https://laponia.nu/wp-content/uploads/2016/02/Karta_Muttos_Laponia_LisaWallin.png"", ""wheelchair"": ""no"", ""wood_provided"": ""yes""}"
328384818,328384818,66.8019937,20.3248147,Nammajávrre,SE,alpine_hut,,,Laponiatjuottjudus,"{""alt_name"": ""Rámsojávrrestugan"", ""beds"": ""3"", ""building"": ""hut"", ""charge:adult"": ""150 SEK/night"", ""charge:child"": ""60 SEK/night"", ""charge:child:max_age"": ""15"", ""charge:daytime"": ""60 SEK/day"", ""description"": ""Stugorna är öppna året om och har självhushåll med enkel men bekväm standard. Du hugger själv ved, eldar, hämtar vatten, lagar mat, diskar och städar. Det finns ved och gasolspisar i alla stugor, samt inbetalningskort med information om hur du ska betala."", ""fee"": ""yes"", ""fireplace"": ""yes"", ""image"": ""https://laponia.nu/wp-content/uploads/2014/09/Nammavarre_140905JohanOja003-700x466.jpg"", ""internet_access"": ""no"", ""name"": ""Nammajávrre"", ""old_name"": ""Nammates"", ""operator"": ""Laponiatjuottjudus"", ""payment:bankgiro"": ""yes"", ""payment:details"": ""https://laponia.nu/wp-content/uploads/2019/11/Betalning_Muttos_2019_SVE.pdf"", ""payment:swish"": ""yes"", ""smoking"": ""no"", ""tourism"": ""alpine_hut"", ""website"": ""https://laponia.nu/upplev/leder/muttosbalges/"", ""website2"": ""http://www.naturvardsverket.se/Var-natur/Skyddad-natur/Nationalparker/MuddusMuttus-Norrbottens-lan/"", ""website:map"": ""https://laponia.nu/wp-content/uploads/2014/09/2018-09-Avstandskarta-Muttos.png"", ""website:map2"": ""https://laponia.nu/wp-content/uploads/2016/02/Karta_Muttos_Laponia_LisaWallin.png"", ""wheelchair"": ""no"", ""wood_provided"": ""yes""}"
328585391,328585391,66.8181649,20.1532561,Muddusfallet,SE,alpine_hut,,,,"{""beds"": ""8"", ""building"": ""yes"", ""charge:adult"": ""150 SEK/night"", ""charge:child"": ""60 SEK/night"", ""charge:child:max_age"": ""15"", ""charge:daytime"": ""60 SEK/day"", ""description"": ""Stugorna är öppna året om och har självhushåll med enkel men bekväm standard. Du hugger själv ved, eldar, hämtar vatten, lagar mat, diskar och städar. Det finns ved och gasolspisar i alla stugor, samt inbetalningskort med information om hur du ska betala."", ""fee"": ""yes"", ""fireplace"": ""yes"", ""image"": ""https://laponia.nu/wp-content/uploads/2014/09/muddusagahtjaldak_stuga-700x466.jpg"", ""name"": ""Muddusfallet"", ""payment:bankgiro"": ""yes"", ""payment:details"": ""https://laponia.nu/wp-content/uploads/2019/11/Betalning_Muttos_2019_SVE.pdf"", ""payment:swish"": ""yes"", ""smoking"": ""no"", ""tourism"": ""alpine_hut"", ""website"": ""https://laponia.nu/upplev/leder/muttosbalges/"", ""website2"": ""http://www.naturvardsverket.se/Var-natur/Skyddad-natur/Nationalparker/MuddusMuttus-Norrbottens-lan/"", ""website:map"": ""https://laponia.nu/wp-content/uploads/2014/09/2018-09-Avstandskarta-Muttos.png"", ""website:map2"": ""https://laponia.nu/wp-content/uploads/2016/02/Karta_Muttos_Laponia_LisaWallin.png"", ""wood_provided"": ""yes""}"
